src_ip,dst_ip,protocol,src_port,dst_port,bytes_sent,bytes_received,duration,packet_count,attack_type
39.170.115.188,133.204.219.238,TCP,1762,62458,3422,5989,213,131,normal
80.35.125.105,246.113.106.207,TCP,32718,9699,3736,989,277,96,normal
49.134.137.30,151.26.62.67,TCP,1225,43970,2865,5943,305,89,ddos
157.51.229.193,175.153.3.55,TCP,20804,303,1852,9389,552,80,normal
121.123.112.174,72.234.63.118,UDP,15457,17942,8318,5160,533,46,normal
4.195.47.40,120.202.23.136,ICMP,3216,51871,8838,5369,535,103,normal
133.178.186.94,97.248.54.244,UDP,44941,38872,9291,7480,493,85,normal
181.127.124.93,233.160.74.176,TCP,36379,41814,4759,9184,542,150,normal
120.83.12.35,50.138.7.157,TCP,37255,39426,2075,916,488,102,normal
168.157.58.71,117.115.163.24,ICMP,55117,8679,7307,3703,223,26,normal
100.231.128.60,41.139.199.178,ICMP,47114,25396,1972,6924,375,60,normal
98.100.25.71,18.136.82.25,ICMP,40634,15728,6096,5130,184,86,normal
35.190.149.147,89.155.213.129,UDP,32378,54145,5315,934,344,107,normal
165.134.48.208,143.168.71.37,TCP,3117,42913,6145,8135,49,79,normal
165.21.223.12,42.185.156.90,ICMP,51195,40140,6488,6603,88,110,normal
162.33.9.165,244.170.191.98,ICMP,11744,54778,9559,5139,428,120,normal
216.186.198.45,69.252.240.139,UDP,62366,32014,6270,7528,588,129,normal
199.190.112.238,26.173.179.190,TCP,52091,42152,3403,8081,590,87,normal
227.109.156.118,175.107.64.162,ICMP,31906,21132,5238,9711,311,124,normal
17.224.221.175,170.151.168.134,UDP,51566,54160,2210,4873,130,73,normal
245.204.229.139,45.192.199.236,TCP,20343,49221,4745,9081,30,93,normal
205.17.166.143,181.46.248.99,ICMP,15149,38880,3683,9971,435,107,normal
103.81.169.246,87.16.207.60,UDP,5208,5547,4878,4582,357,108,normal
124.24.209.10,242.59.65.6,ICMP,14474,29663,4971,9637,250,59,normal
35.87.120.106,168.220.20.134,TCP,29965,14888,4369,4384,214,10,normal
196.200.38.246,135.156.254.186,ICMP,1959,60699,363,3867,302,110,normal
202.200.165.58,31.79.223.248,ICMP,51992,46806,7345,8959,275,149,normal
129.35.7.225,237.51.52.78,UDP,48198,22213,7858,1871,568,82,ddos
115.36.94.193,115.12.22.214,TCP,35891,18869,9193,6374,346,129,normal
91.174.242.251,231.136.5.40,ICMP,56787,56801,3001,3366,567,141,normal
219.171.254.37,43.206.244.58,ICMP,26669,56329,6247,4952,488,132,normal
240.211.48.149,18.148.128.215,UDP,1723,1526,9228,7923,30,43,normal
172.207.55.208,135.46.225.193,TCP,36308,55393,4270,4769,147,107,normal
111.144.59.173,136.117.30.216,ICMP,45160,40263,8189,8016,477,69,normal
167.176.29.39,24.205.209.10,TCP,25670,9044,7445,1212,281,86,normal
118.223.209.228,117.13.204.116,ICMP,12165,51533,3945,6456,270,93,normal
115.127.69.6,193.236.113.17,ICMP,25884,23230,1359,8372,290,86,normal
97.150.229.55,229.90.213.199,TCP,43695,49422,9241,4319,85,46,normal
253.250.18.79,171.109.129.150,TCP,25257,63456,5262,1577,283,91,ddos
171.202.22.243,233.252.88.73,UDP,26255,10265,2489,4770,460,21,normal
252.241.163.172,142.123.30.99,ICMP,9122,13571,5141,1723,325,53,normal
83.173.137.162,12.56.21.30,ICMP,50239,64667,7558,6725,219,131,normal
129.24.243.132,111.186.61.10,TCP,60993,35132,2131,8556,131,35,normal
3.168.211.245,14.126.209.134,TCP,61375,41110,3790,2180,271,8,normal
215.85.50.18,100.184.47.202,UDP,65503,58563,3754,222,27,110,normal
11.4.239.234,155.182.55.54,TCP,44389,42572,7996,9998,567,135,normal
187.73.95.81,56.30.215.109,TCP,14008,13233,4028,9858,563,56,normal
251.115.75.109,43.88.184.41,UDP,50122,43727,8372,994,264,56,normal
16.51.5.93,207.177.201.141,UDP,30586,57958,4070,7066,397,51,normal
84.65.225.54,219.72.172.68,TCP,44808,30212,3177,7278,277,80,normal
46.244.44.195,196.26.172.106,UDP,44837,14510,5108,2308,231,74,normal
69.194.64.115,180.231.244.11,TCP,48558,1568,9490,1023,341,19,normal
41.186.109.50,34.26.35.242,UDP,24237,6313,7291,9963,334,83,normal
133.190.175.231,179.245.107.167,UDP,29621,28725,6305,8101,92,141,normal
34.233.91.225,5.115.121.159,TCP,26653,63900,7430,642,158,79,normal
80.204.211.22,93.68.140.38,TCP,9000,6440,6004,8103,427,63,normal
250.31.106.124,165.12.96.88,UDP,20569,13951,3069,1182,536,21,ddos
101.8.94.222,142.163.241.110,TCP,36360,45896,4726,5374,436,42,normal
43.187.65.127,10.123.113.11,TCP,15299,56879,8468,3514,462,64,normal
134.85.118.130,225.182.53.177,TCP,60032,1451,1374,653,308,93,normal
98.217.118.204,35.81.191.116,TCP,5691,47410,7137,3432,252,16,normal
253.215.120.100,251.34.81.122,UDP,18399,19236,2629,7654,396,61,normal
15.248.67.117,124.180.140.240,TCP,54916,45532,4858,8049,86,29,normal
182.34.87.53,233.53.27.124,ICMP,23051,15881,3205,2733,235,77,normal
231.100.197.118,140.1.161.66,UDP,53989,4502,9695,4592,104,136,normal
84.134.204.212,96.214.9.227,UDP,36005,14848,950,3801,210,139,normal
203.228.97.212,129.26.126.69,ICMP,7426,28933,6920,5685,453,97,normal
104.218.131.114,50.41.247.15,UDP,28549,154,7288,6221,23,96,normal
93.110.204.205,90.218.165.126,TCP,60854,19290,3868,1273,475,8,normal
80.212.141.223,109.43.109.149,UDP,43712,61544,7808,7558,300,55,icmp_flood
253.88.27.177,164.107.60.160,ICMP,60761,7803,5549,5410,598,18,normal
132.48.94.238,6.82.188.180,UDP,9624,36960,2539,5851,513,48,normal
19.56.156.231,53.91.169.67,TCP,20441,11887,6436,3906,12,89,normal
207.144.188.228,6.74.95.240,TCP,58381,50545,8754,1009,44,126,normal
255.113.13.140,219.118.4.95,ICMP,28413,51952,7088,5783,598,129,normal
126.179.148.220,98.134.90.45,TCP,7917,23491,8861,5575,194,41,normal
19.251.40.201,95.82.209.123,ICMP,47229,13989,7193,8121,309,143,normal
125.113.244.250,181.153.77.81,TCP,10246,12244,9179,6357,448,17,brute_force
28.105.77.150,212.101.231.60,UDP,63824,58874,7582,3823,133,22,normal
218.242.170.105,98.11.27.86,UDP,5746,17206,1636,4432,533,79,normal
246.79.136.238,15.169.88.9,UDP,36157,48279,3565,9674,281,27,normal
236.11.235.192,162.186.234.237,TCP,62761,36116,6535,3651,129,95,normal
182.171.136.32,32.8.125.57,TCP,60653,27063,6652,702,423,130,normal
12.188.38.17,105.97.143.54,UDP,34501,7685,5723,854,6,123,normal
173.98.16.189,134.71.73.182,UDP,34464,45479,8822,8196,34,107,normal
83.2.208.72,232.37.116.86,UDP,42182,27662,5594,8045,45,62,normal
194.87.151.2,57.29.42.117,TCP,34742,60955,9777,8226,184,34,normal
78.2.97.99,233.113.155.164,TCP,44681,10686,7387,8232,87,111,normal
7.173.107.233,55.120.167.218,TCP,6640,26602,9608,663,32,129,normal
31.225.155.237,210.116.32.149,TCP,32069,8293,3420,6951,233,111,normal
110.168.177.12,105.64.197.189,TCP,61341,15292,5535,8091,507,78,normal
32.201.15.79,191.208.133.166,TCP,54622,37622,5233,3046,273,48,normal
97.53.43.240,18.134.6.163,TCP,43202,16740,443,6949,480,87,normal
204.219.98.46,139.107.71.254,UDP,31342,25216,954,9594,372,132,normal
168.42.107.117,116.106.253.203,TCP,42878,42701,2489,2870,200,127,normal
122.47.79.164,9.186.97.241,ICMP,16634,56572,6958,3264,58,11,normal
150.202.7.64,131.201.79.113,UDP,24051,4874,7905,6452,591,141,normal
58.195.5.168,166.238.87.126,TCP,10023,8595,1609,3290,269,97,normal
134.56.214.212,117.78.64.232,UDP,58802,17266,7785,978,295,9,normal
250.69.53.44,12.199.19.209,TCP,15394,20469,7305,7177,29,81,normal
238.101.43.95,43.92.158.181,ICMP,12792,13210,3609,9949,434,116,icmp_flood
86.182.200.241,118.247.185.179,ICMP,41098,30876,8707,3459,137,120,normal
148.10.116.95,196.36.83.151,UDP,8896,29359,9904,7065,358,69,normal
