Customer_ID,Age,Gender,City,Annual_Income,Purchase_Frequency,Average_Spending_Per_Transaction,Preferred_Product_Category,Total_Spent
CUST-0001,58,Male,Bandung,74452590,20,2506379,Electronics,50127580
CUST-0002,25,Male,Makassar,20948354,2,1034739,Electronics,2069478
CUST-0003,19,Male,Surabaya,187117265,2,2054445,Health & Beauty,4108890
CUST-0004,65,Male,Jakarta,87943960,8,2085052,Electronics,16680416
CUST-0005,35,Female,Jakarta,23276996,9,2871946,Health & Beauty,25847514
CUST-0006,33,Male,Surabaya,143115950,18,472824,Groceries,8510832
CUST-0007,32,Female,Surabaya,153580893,13,89873,Groceries,1168349
CUST-0008,26,Female,Bandung,153853256,10,306089,Groceries,3060890
CUST-0009,65,Male,Bandung,165894980,12,1166023,Groceries,13992276
CUST-0010,24,Female,Surabaya,21543650,4,80310,Health & Beauty,321240
CUST-0011,61,Female,Jakarta,183204442,18,2840563,Electronics,51130134
CUST-0012,65,Female,Medan,152463984,8,2492953,Books,19943624
CUST-0013,52,Male,Makassar,83854984,15,225570,Groceries,3383550
CUST-0014,23,Male,Makassar,78216629,13,456184,Health & Beauty,5930392
CUST-0015,55,Female,Bandung,178071526,1,935284,Books,935284
CUST-0016,45,Female,Surabaya,197025296,13,2240829,Electronics,29130777
CUST-0017,20,Male,Jakarta,147697964,9,80458,Health & Beauty,724122
CUST-0018,19,Female,Jakarta,141799497,10,1625656,Groceries,16256560
CUST-0019,23,Female,Bandung,130099169,3,2579101,Health & Beauty,7737303
CUST-0020,31,Female,Bandung,138615014,8,2231348,Health & Beauty,17850784
CUST-0021,32,Female,Medan,41315095,10,1164996,Electronics,11649960
CUST-0022,50,Female,Makassar,181387843,7,2088122,Groceries,14616854
CUST-0023,56,Female,Makassar,181088683,6,2034877,Books,12209262
CUST-0024,19,Male,Makassar,21764432,15,1463606,Electronics,21954090
CUST-0025,53,Male,Bandung,85689690,11,2584918,Electronics,28434098
CUST-0026,30,Male,Medan,166925894,14,1851259,Fashion,25917626
CUST-0027,63,Female,Surabaya,94655372,2,1461593,Electronics,2923186
CUST-0028,59,Male,Bandung,186367179,9,1605185,Electronics,14446665
CUST-0029,62,Female,Medan,188748036,3,2909928,Fashion,8729784
CUST-0030,52,Female,Bandung,169665824,16,1488971,Electronics,23823536
CUST-0031,44,Male,Surabaya,75737294,16,1372144,Groceries,21954304
CUST-0032,32,Male,Surabaya,33131541,14,1054942,Health & Beauty,14769188
CUST-0033,46,Female,Medan,69617606,11,1565027,Fashion,17215297
CUST-0034,55,Male,Jakarta,59797213,14,2839540,Fashion,39753560
CUST-0035,35,Male,Surabaya,34781113,4,1721309,Electronics,6885236
CUST-0036,18,Female,Surabaya,195362676,6,1637274,Fashion,9823644
CUST-0037,28,Female,Surabaya,113689298,9,2611918,Groceries,23507262
CUST-0038,62,Male,Surabaya,29857232,17,290088,Books,4931496
CUST-0039,45,Female,Jakarta,59023646,3,1543294,Electronics,4629882
CUST-0040,39,Male,Makassar,28705922,12,1435190,Electronics,17222280
CUST-0041,35,Male,Makassar,199045521,14,470174,Groceries,6582436
CUST-0042,27,Female,Surabaya,175180580,20,62938,Electronics,1258760
CUST-0043,31,Female,Jakarta,181943208,18,1966458,Electronics,35396244
CUST-0044,39,Male,Bandung,100112292,11,2978917,Electronics,32768087
CUST-0045,24,Female,Jakarta,108881954,15,1735306,Groceries,26029590
CUST-0046,23,Male,Medan,43542511,1,632433,Electronics,632433
CUST-0047,42,Female,Bandung,33161757,2,157711,Groceries,315422
CUST-0048,24,Female,Makassar,49229304,6,2574590,Groceries,15447540
CUST-0049,40,Male,Makassar,131926021,15,565457,Books,8481855
CUST-0050,40,Female,Jakarta,67848189,5,2275620,Health & Beauty,11378100
CUST-0051,56,Male,Makassar,63308094,1,1222171,Groceries,1222171
CUST-0052,34,Female,Jakarta,96337820,13,2982928,Fashion,38778064
CUST-0053,20,Male,Jakarta,184038157,7,1092442,Fashion,7647094
CUST-0054,64,Male,Jakarta,197415598,10,1595306,Books,15953060
CUST-0055,47,Female,Jakarta,179710770,11,1945481,Health & Beauty,21400291
CUST-0056,52,Male,Jakarta,173620937,19,2643554,Electronics,50227526
CUST-0057,25,Female,Medan,170908292,3,2928068,Fashion,8784204
CUST-0058,42,Male,Medan,67625621,4,2813526,Groceries,11254104
CUST-0059,23,Male,Medan,142228816,6,2043130,Fashion,12258780
CUST-0060,53,Male,Jakarta,175415080,8,2209705,Books,17677640
CUST-0061,36,Female,Makassar,116687403,17,1782778,Health & Beauty,30307226
CUST-0062,58,Female,Bandung,29620739,5,2819198,Health & Beauty,14095990
CUST-0063,57,Male,Medan,44998396,20,838256,Electronics,16765120
CUST-0064,41,Female,Surabaya,100341251,14,63124,Books,883736
CUST-0065,54,Female,Surabaya,106656831,11,2726273,Books,29989003
CUST-0066,30,Male,Jakarta,118937100,15,1401335,Fashion,21020025
CUST-0067,63,Male,Bandung,121720757,16,119752,Books,1916032
CUST-0068,22,Male,Medan,38164135,5,2708254,Health & Beauty,13541270
CUST-0069,20,Female,Jakarta,134708868,9,1560811,Health & Beauty,14047299
CUST-0070,60,Male,Makassar,167765957,6,241907,Groceries,1451442
CUST-0071,32,Male,Bandung,37428404,19,1415351,Groceries,26891669
CUST-0072,36,Female,Makassar,98606683,11,2893442,Health & Beauty,31827862
CUST-0073,23,Male,Makassar,146383934,10,1913555,Fashion,19135550
CUST-0074,32,Female,Surabaya,56116860,7,1029615,Electronics,7207305
CUST-0075,24,Male,Medan,52755361,3,2594948,Groceries,7784844
CUST-0076,42,Female,Jakarta,93663666,14,2082291,Groceries,29152074
CUST-0077,35,Male,Makassar,108371241,12,1728414,Electronics,20740968
CUST-0078,47,Male,Makassar,161479641,6,2619398,Groceries,15716388
CUST-0079,58,Male,Jakarta,131067293,13,391287,Books,5086731
CUST-0080,41,Female,Bandung,160833645,13,1511018,Fashion,19643234
CUST-0081,28,Female,Jakarta,76329936,19,1844810,Fashion,35051390
CUST-0082,41,Male,Jakarta,76116695,8,2047000,Electronics,16376000
CUST-0083,40,Male,Medan,184296927,1,2811273,Electronics,2811273
CUST-0084,31,Female,Surabaya,35618806,1,2983914,Health & Beauty,2983914
CUST-0085,60,Male,Makassar,49340595,18,471341,Electronics,8484138
CUST-0086,35,Male,Surabaya,173375180,20,1664213,Fashion,33284260
CUST-0087,62,Male,Bandung,188840156,8,1282550,Electronics,10260400
CUST-0088,61,Female,Makassar,161988026,3,2596671,Fashion,7790013
CUST-0089,59,Female,Surabaya,43533667,15,868212,Health & Beauty,13023180
